id,Average Rating,calories_kCal,Servings,Average Sentiment,recipe_prep_time,#ingredient,category
922,4.08,858,4,1.45,20,9,Seafood Pasta and Noodles
5752,4.11,344,4,1.84,5,6,Seafood Pasta and Noodles
674,4.55,550,10,1.99,30,10,Seafood Pasta and Noodles
3866,4.18,695,6,1.65,10,14,Seafood Pasta and Noodles
433,4.21,641,6,1.72,20,12,Seafood Pasta and Noodles
183,4.71,725,6,2.3,25,8,Seafood Pasta and Noodles
153,4.43,463,6,1.77,15,9,Seafood Pasta and Noodles
4741,4.45,439,7,2.21,25,8,Seafood Pasta and Noodles
610,4.37,703,7,1.87,15,6,Seafood Pasta and Noodles
285,4.24,591,6,1.72,10,7,Seafood Pasta and Noodles
